sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample119,-0.372,-0.251,0.135,-0.394,-0.778,0.288,-0.089,-0.671,0.826,0.694,-0.352,-0.04,-0.183,-0.317,-0.454,1.514,0.652,0.698,-1.317,0.287,-0.208,-0.678,1.334,-0.89,-1.242,-0.6,-0.377,-0.251,0.167,0.176,0.654,-0.164,-0.164,-0.273,-1.274,-0.835,-0.659,-0.929,1.873,-0.62,1.805,0.357,-1.825,1.356,0.652,-0.09,0.883,-0.852,-0.621,1.353,1.918,2.271,-0.186,0.834,-0.205,-0.379,-0.361,-0.525,-1.09,-0.893,-1.28,-0.163,0.652,-1.456,0.754,0.372,-0.182,-0.083,0.903,-0.164,-0.42,1.36,1.784,-2.458,1.395
sample120,0.363,-2.862,1.921,1.117,-0.133,-1.276,-0.823,-0.222,-0.972,0.523,0.655,-0.87,-0.065,0.329,-0.33,0.477,2.907,1.21,-1.323,1.063,-0.724,0.222,0.687,-0.335,-0.874,-0.099,-0.218,-1.101,0.731,0.944,-1.29,0.318,-0.494,0.538,-1.282,-0.546,0.601,1.323,0.625,-1.731,-0.587,0.843,0.982,0.162,0.332,0.051,1.557,0.781,-0.631,-0.436,0.377,-0.518,0.468,-1.165,1.192,-0.408,-0.087,1.152,-0.213,-1.132,0.283,0.391,0.577,-0.023,-1.287,2.076,1.04,0.172,0.119,0.201,-0.472,-0.719,-1.564,1.554,-0.776
sample121,-0.642,1.081,-1.938,1.032,-0.162,0.007,-1.124,-0.456,-0.085,1.055,-0.953,-2.236,-0.793,-1.208,-0.392,-0.114,0.173,-0.068,0.764,-1.601,-1.691,-0.763,0.147,0.681,-0.835,1.736,-0.957,1.098,-0.716,-0.315,-1.748,-2.194,0.123,-1.18,0.934,-1.042,-1.153,-1.126,-0.255,1.096,0.889,0.264,0.102,-0.468,0.192,1.126,-0.036,0.955,-0.806,0.292,-0.323,-0.276,2.499,1.165,0.19,-0.192,0.513,0.358,-1.09,1.289,0.076,-0.473,-0.077,0.267,0.267,1.085,-0.253,0.553,-0.207,-0.064,-1.175,-1.365,-0.17,-0.099,-0.692
sample122,-0.926,-1.709,0.488,-1.144,1.941,1.348,-0.8,0.539,-0.561,-0.988,-0.564,0.341,1.106,-0.131,-0.031,0.464,2.194,2.583,-1.699,0.094,-0.848,-0.829,-0.09,-0.192,0.087,-0.91,-0.032,0.352,0.888,1.607,-0.439,-0.384,-2.606,-0.597,-0.523,-0.431,-0.573,-1.109,0.483,0.577,-1.147,0.891,-0.35,-0.402,0.5,1.39,-0.216,-0.801,1.033,-0.707,-0.162,0.079,0.694,-0.396,-0.387,0.829,2.575,-0.589,-0.104,0.229,-0.866,-0.754,0.001,-0.201,0.154,-0.436,1.678,0.024,0.993,0.475,0.431,1.373,0.875,1.008,-0.657
sample123,-0.842,-1.136,0.811,-1.894,0.036,-1.743,-0.327,-0.394,-0.264,0.069,-1.019,-0.236,-1.478,-0.154,-0.734,0.02,0.086,0.305,-0.249,-0.87,0.747,-0.424,-1.149,-0.137,1.119,0.32,2.809,-0.92,1.532,-0.253,-0.566,-1.939,0.569,1.756,-1.048,-0.071,-0.45,1.508,-1.625,-1.137,-2.122,1.439,1.041,-0.112,-0.154,-0.764,0.151,-0.303,0.154,-0.772,-1.387,-1.444,-0.477,1.204,-0.716,-1.321,-1.039,-0.115,1.822,0.33,-1.72,-0.32,0.343,1.679,0.795,0.987,-0.902,1.784,-0.971,0.356,0.003,0.557,-0.632,1.794,-0.473
sample124,-0.133,1.881,-0.305,0.767,-1.128,1.333,0.786,-1.54,0.401,0.997,-0.669,-0.003,0.818,-1.096,1.355,0.647,-0.951,-0.449,0.718,0.068,-1.717,0.178,-0.529,-0.275,-0.191,-1.041,1.596,-0.184,0.941,0.548,-0.929,-0.425,-0.693,1.867,-0.972,-0.471,0.576,-1.477,-0.799,-0.697,0.695,-0.716,-1.428,-0.274,2.041,0.871,0.097,0.413,-1.175,0.074,-0.722,0.474,-0.095,-0.671,-1.522,-1.884,0.886,2.371,-1.292,-1.092,0.787,-1.267,0.52,0.365,-1.398,2.123,-0.552,0.312,0.502,0.517,-0.763,0.301,-0.354,-1.727,0.831
sample125,0.375,-1.839,-1.492,0.271,-0.368,-0.124,0.149,0.013,0.17,0.045,0.204,2.255,-0.461,-0.392,0.105,0.865,-1.021,0.104,0.187,-0.564,-1.192,0.205,1.464,-0.416,-0.401,1.59,1.975,-0.825,0.217,2.412,0.008,-0.465,0.802,-0.49,-0.695,-0.275,-1.263,-2.285,-1.074,-0.064,-0.11,-0.467,-0.606,-0.917,0.7,2.297,1.07,0.081,0.512,1.753,-1.38,0.147,-1.336,-0.986,-2.668,0.038,-0.554,-1.486,-0.543,1.346,-0.943,0.593,1.952,1.752,2.283,-2.306,0.312,0.174,-2.018,-0.232,0.334,-2.233,-1.369,-1.012,1.357
sample126,0.535,0.205,-0.237,-0.463,0.232,0.962,0.309,0.314,-0.309,-2.044,-1.0,0.851,0.457,-0.167,0.507,-0.091,0.024,-0.848,-0.301,0.177,-0.412,0.013,0.464,0.88,-1.818,-0.437,0.542,0.575,-0.79,0.927,-1.825,0.232,-1.196,1.307,-0.647,-0.649,-1.085,-0.687,1.96,0.992,1.808,-0.105,1.002,0.328,0.058,1.024,-0.424,-0.984,0.574,-1.227,-1.724,-1.206,-1.184,-0.432,0.753,-0.325,0.548,0.099,0.924,0.272,-0.807,-0.882,0.108,-0.427,-2.895,-0.241,-1.389,0.093,-0.263,0.991,-0.114,-0.336,-1.339,-0.515,-0.009
sample127,-0.553,1.153,-0.849,-1.04,0.349,-0.18,-0.829,0.259,0.156,-0.116,-0.805,-0.209,-0.726,-1.135,-0.646,-0.012,-0.223,-1.709,0.638,-0.694,0.071,0.469,1.671,0.339,1.922,0.352,-0.318,-0.268,-0.361,-0.273,-0.389,-0.25,0.471,1.4,-1.286,0.21,0.879,0.287,0.126,0.763,-0.499,0.448,0.999,0.976,0.89,-1.809,-0.915,-0.133,-0.072,-0.351,-0.364,-0.751,-0.031,0.607,1.57,0.427,-0.702,-0.523,-1.239,0.92,0.348,-0.849,-1.128,0.447,0.388,-0.511,0.652,1.102,-1.954,0.247,0.371,-0.878,-0.472,-0.488,-0.597
sample128,-0.889,-3.04,0.013,-1.385,0.733,-0.136,0.567,-0.737,-2.015,1.174,-1.415,-0.162,0.051,-0.783,0.928,-1.276,-0.801,-0.768,-0.795,0.334,-0.441,-0.505,0.225,-0.11,-0.303,0.166,-0.051,0.744,1.416,-0.387,-0.172,-0.789,-0.648,0.508,1.553,-0.956,-1.894,1.282,-0.85,-0.896,-0.041,-1.36,-0.806,-0.767,0.52,0.663,2.155,0.377,2.095,0.554,1.135,-1.122,2.449,0.733,-0.159,-0.874,-1.091,-0.221,0.303,-0.344,0.22,-1.927,0.553,-1.279,0.094,0.359,-0.78,-0.658,0.382,-0.322,-2.57,-1.738,0.763,-0.556,-1.527
sample129,-1.044,-0.994,0.532,-0.543,-0.64,0.522,-0.121,0.355,-0.08,-0.896,1.41,-0.188,-0.327,-1.134,0.992,0.22,0.258,0.645,0.517,0.082,0.776,0.104,-0.588,-0.672,0.017,1.749,-0.321,1.118,0.954,-1.706,0.106,-0.405,-0.739,0.131,-0.952,1.485,-0.142,0.693,0.091,0.957,0.532,-1.06,1.948,-0.401,-1.055,0.643,0.837,0.716,0.208,0.386,-0.585,-0.153,0.691,-0.287,-0.699,0.413,-0.265,0.074,-0.426,-0.36,-0.395,0.108,-1.289,-2.842,-0.652,-1.11,-1.499,0.449,0.036,-1.245,1.654,0.573,0.32,-0.009,-0.229
sample130,-0.595,-1.553,0.064,0.801,-0.605,0.185,0.66,-0.926,1.805,-0.292,-0.38,0.047,0.32,0.301,0.431,0.782,-1.235,0.566,-1.028,0.256,-0.431,-1.858,-0.798,0.125,0.315,2.315,0.194,1.509,-1.18,0.349,-0.204,1.808,-0.689,-0.413,0.734,1.273,0.14,0.316,1.284,-1.615,0.382,-0.678,-1.398,-1.479,-1.092,-0.084,1.207,0.325,0.261,-1.444,-0.135,-0.329,1.064,-1.682,0.454,-0.717,-0.199,1.108,1.149,-0.167,-0.34,0.645,0.82,-0.951,-1.363,1.409,-0.211,1.558,-0.011,-0.602,-0.499,0.288,-0.514,-1.182,-0.294
sample131,-0.617,-0.276,1.617,-0.465,0.541,0.557,-0.068,0.187,1.543,0.111,-0.744,1.616,-1.947,0.562,-2.046,-0.819,0.436,1.163,0.73,0.399,-0.715,0.107,-1.352,-0.033,0.033,0.284,0.777,-1.826,1.177,-0.571,0.883,-1.239,-0.249,0.216,-1.638,0.37,1.01,1.118,0.873,0.119,-3.207,-0.144,-0.745,0.396,2.003,0.427,0.118,0.616,-0.405,-1.061,0.387,-1.603,0.338,0.92,1.248,-0.665,-1.049,0.058,0.78,0.137,0.419,0.772,0.853,-0.068,-0.375,0.952,0.342,1.613,-1.259,0.642,1.501,-0.762,-0.584,0.789,0.255
sample132,-0.618,-0.449,-0.812,0.473,0.601,0.318,0.031,-0.171,-1.136,1.244,-1.514,0.019,-0.32,0.752,-0.178,-0.951,-0.363,-0.806,0.155,0.283,-0.528,0.833,-0.607,1.337,0.872,0.176,-0.895,-0.178,-1.192,-0.296,-1.434,-0.067,0.413,-0.423,0.471,0.475,-0.908,0.548,1.248,0.086,0.715,-1.517,0.026,-0.144,-1.073,1.655,-1.37,-0.337,-0.413,1.843,0.695,1.125,0.426,0.147,-0.342,-0.032,-1.797,0.488,-0.806,-0.964,2.311,-0.56,-0.867,1.488,1.884,0.975,-1.543,0.834,0.395,2.215,-0.384,-1.814,-1.157,0.689,-0.748
sample133,2.51,0.104,-0.449,-0.541,0.601,1.057,-0.386,-0.481,-0.813,0.553,0.405,-0.063,-0.443,1.4,-0.122,-1.389,0.365,0.675,0.277,0.788,0.231,-1.115,-0.781,0.227,0.386,0.104,0.08,0.001,1.538,-0.465,-0.427,0.326,1.271,0.364,-1.414,-0.16,-1.398,-1.662,0.915,-1.371,-0.632,-0.121,1.023,-1.823,-0.426,-0.566,0.734,-0.768,-1.853,-1.453,-0.461,0.205,-0.01,-2.384,1.713,0.499,-0.694,-1.328,0.037,1.061,-1.074,1.251,1.204,0.378,0.486,0.262,2.037,0.076,-1.438,-0.504,-1.351,0.004,0.426,1.194,-1.836
sample134,-1.527,-0.889,-0.611,0.723,-3.077,-0.212,-0.823,0.883,0.497,-0.686,0.408,-1.085,-0.505,-2.031,0.538,-0.306,0.664,-0.638,0.848,-1.469,-0.975,-1.009,0.742,-0.456,0.422,-0.042,-1.827,-0.845,-2.247,1.143,-2.014,-0.695,0.653,0.261,-1.654,2.129,0.118,0.873,0.376,-0.647,-0.677,1.184,-1.056,-0.789,0.321,-1.651,0.125,0.431,-1.062,0.198,-0.533,-0.357,-1.622,0.563,-0.636,1.365,-1.568,0.446,0.203,0.124,-0.079,-0.424,0.293,0.329,0.696,-0.339,0.693,-0.692,-1.226,0.623,-1.084,0.882,0.274,-0.269,-0.703
sample135,0.551,0.599,0.441,-0.824,-0.068,0.639,0.769,-1.204,-0.105,0.64,-0.28,-0.369,0.25,0.464,1.094,0.45,-1.857,0.564,0.108,-1.079,-0.544,-1.845,-0.597,1.153,-0.424,0.176,-1.96,0.665,-1.218,0.022,1.287,-1.768,-0.366,-1.483,0.423,-0.118,1.997,0.911,0.884,-0.156,-0.193,1.293,-0.229,0.098,0.004,-2.156,0.438,0.437,0.904,-0.918,1.142,-0.223,1.486,-0.069,-2.23,0.239,0.779,-1.568,-0.653,-0.99,0.381,0.307,1.115,-1.158,-0.577,0.828,-1.848,-0.299,0.199,-0.117,-0.659,1.421,-1.363,0.868,0.081
sample136,1.346,-0.424,0.292,-1.095,-0.005,0.956,-0.058,0.985,0.647,-0.104,-0.287,0.033,0.297,1.38,0.208,-1.229,1.977,0.123,-0.022,0.259,1.08,0.91,-0.534,0.156,0.391,-0.198,-0.995,1.188,0.451,1.292,0.245,-0.25,0.839,-0.239,0.196,0.193,-0.929,-0.939,-0.722,-2.22,-1.141,1.529,0.344,0.016,0.219,-0.14,-0.442,1.86,-0.793,0.696,-1.851,-0.495,0.52,1.332,-2.327,-0.921,-1.112,-0.017,0.058,-0.838,1.357,1.126,1.049,0.404,0.077,1.164,0.631,1.042,1.085,-2.434,-2.66,-0.922,-1.271,0.51,-0.047
sample137,-0.815,-1.354,0.85,-0.501,0.876,-0.347,0.766,0.245,-1.245,0.074,1.976,1.109,0.22,1.361,-0.793,-0.457,1.593,-1.106,-1.677,-1.139,0.483,-0.767,1.016,2.262,-1.189,0.432,0.656,0.146,-0.568,-0.434,-1.188,0.597,-2.128,0.267,-0.492,1.013,0.415,0.855,1.191,-1.793,-0.115,0.365,-0.099,-1.071,1.188,-0.344,0.426,1.528,-0.677,-0.504,-0.39,0.204,-1.434,-0.86,0.248,0.207,-0.093,-0.714,-0.754,0.309,-0.812,0.001,0.548,-0.315,-0.28,-0.038,0.425,-0.195,0.277,0.481,1.827,0.53,0.746,-0.058,-1.456
sample138,-0.477,0.8,0.077,-0.342,-1.143,-0.482,1.888,0.604,0.608,0.101,-0.564,-0.456,0.507,1.114,0.689,0.087,0.373,1.177,-0.528,-0.753,1.55,0.124,2.065,-0.991,-1.6,-0.572,1.25,0.083,-1.174,-1.502,-1.632,-0.747,2.415,0.771,-0.707,0.037,0.075,0.699,-0.173,-0.032,0.275,1.943,0.787,0.479,0.276,-1.186,-0.921,-0.765,0.546,0.824,-0.582,0.731,-1.233,0.331,0.332,0.623,1.203,-0.384,-0.692,0.156,0.295,-0.42,0.669,0.994,-0.966,-0.564,0.545,0.675,-0.539,-0.112,1.952,-1.715,1.231,-1.843,0.573
sample139,-1.278,-1.006,-1.371,0.034,-0.537,-0.453,0.54,-1.234,0.869,-0.501,-0.388,1.05,-1.517,-1.67,-0.159,0.726,0.912,-1.215,0.401,-0.295,1.131,0.196,-0.155,-0.469,0.684,1.476,2.637,-1.619,-0.383,0.358,-0.644,0.465,-0.41,0.059,-0.514,1.219,1.185,0.271,-0.079,-0.201,-1.257,1.67,0.518,-0.489,0.25,0.232,0.04,0.437,0.318,-2.551,1.703,-1.505,0.931,-2.25,-1.081,-0.014,0.229,0.247,-0.663,-0.897,0.067,-0.257,-0.899,-0.702,0.252,-2.242,0.211,-0.728,-0.477,-0.081,0.092,0.995,0.892,0.215,-3.865
sample140,-0.637,0.29,0.998,-1.44,-0.132,-1.023,-0.755,0.624,1.302,0.837,-0.357,0.204,-0.5,0.267,0.096,-0.963,1.513,0.713,0.148,-0.712,-0.157,0.068,-1.703,-1.284,0.384,0.677,0.17,-1.856,-0.267,0.66,-0.336,-0.617,0.257,-0.583,-2.654,-0.083,0.06,-0.937,0.897,0.694,0.298,-0.909,0.966,-0.01,-1.223,-1.318,-0.106,0.487,2.105,1.75,-2.262,0.488,0.703,0.859,0.343,-0.286,-0.17,-1.245,-0.773,0.838,-0.961,0.385,1.433,-0.236,0.476,-0.934,0.67,0.72,-0.543,0.289,0.173,-0.498,-1.928,0.06,1.17
sample141,-0.288,-1.588,-1.348,-1.358,0.189,-1.168,-0.414,-0.027,-1.069,-0.946,0.86,0.465,-1.08,1.289,-1.86,-0.66,0.263,1.436,-0.159,-0.887,-0.795,-0.849,-0.453,0.543,1.131,0.262,0.632,0.725,-0.732,0.211,-0.142,-1.238,-0.788,-0.394,-0.72,0.016,-1.487,1.528,-0.82,-1.092,-0.351,-0.756,2.289,-1.037,0.361,0.597,-0.781,0.533,-0.469,0.943,0.5,0.094,1.75,-0.025,-1.891,-1.06,-0.498,-0.141,-0.703,1.205,0.796,0.651,0.077,0.455,0.129,1.362,1.341,0.149,-1.645,-1.893,0.339,-0.678,2.043,0.891,0.462
sample142,0.499,0.882,-0.829,-0.253,1.235,0.2,0.295,0.558,-1.061,-0.338,-1.737,-0.352,-0.781,-0.349,1.893,0.325,-0.089,-0.86,-0.383,1.108,-0.285,1.689,-0.667,0.171,-0.516,-0.232,2.04,-0.546,-0.351,-1.166,0.318,0.616,0.444,2.228,-0.356,0.637,0.043,-0.869,-0.573,-0.758,-0.934,0.443,1.379,0.09,-1.287,0.636,0.005,1.076,-0.747,-0.658,0.314,0.819,-0.75,1.944,-0.148,-0.254,-0.139,0.153,0.535,-1.88,0.146,-0.325,1.751,-0.835,0.687,-0.271,0.106,0.016,0.257,-0.108,-1.089,0.758,0.748,0.309,1.01
sample143,1.763,-0.797,2.271,0.284,-0.048,0.273,0.652,2.222,0.268,-0.034,1.555,-0.717,-0.25,0.142,-1.184,-0.57,-1.277,-0.92,-0.942,2.2,0.472,-0.063,-0.769,1.284,-0.349,-0.648,-0.47,-0.588,0.59,-1.583,-1.023,1.858,-1.41,-2.374,1.466,0.157,0.799,-0.067,1.312,-1.172,-1.024,0.898,0.414,1.288,-0.18,0.262,-1.637,-0.822,0.6,-0.247,0.441,1.162,1.068,4.367,-0.101,2.107,-0.948,-0.555,0.854,1.071,-0.621,-0.379,0.609,-0.682,-1.327,0.073,0.634,-1.468,-1.258,-0.514,-1.271,-0.525,1.223,-0.008,-0.643
sample144,1.201,1.436,1.417,-0.388,-0.143,-0.345,-0.984,0.154,-0.464,0.034,1.209,-0.489,0.899,0.736,0.822,1.162,0.945,1.557,-0.391,0.114,0.993,0.705,0.982,-0.062,-0.392,1.0,-0.818,0.256,0.715,1.168,-1.259,1.69,0.422,-0.499,0.403,-0.483,-2.098,1.446,-0.12,0.878,-1.566,0.127,-1.233,0.25,0.305,1.338,-1.069,0.064,-1.457,2.584,0.663,-1.144,-2.244,0.397,0.539,0.132,0.536,-0.794,-0.085,-1.759,-1.092,1.174,-1.276,-0.641,0.603,-0.458,1.252,-0.929,0.424,0.363,0.214,-0.716,-0.293,-0.634,0.598
sample145,1.639,-0.548,-0.878,0.008,-0.596,0.282,-0.951,0.152,0.509,-0.365,-0.9,1.327,-1.461,-1.003,0.88,0.413,1.162,-0.192,-0.191,-0.75,1.514,0.901,0.017,1.351,0.397,0.731,-0.961,-1.586,2.013,-0.217,1.153,-0.482,0.097,0.699,1.756,-0.05,0.121,-0.32,-0.035,0.688,0.385,0.098,0.097,-2.517,1.528,0.131,-0.15,-0.512,0.512,0.197,0.052,-0.567,-1.938,-1.028,-1.424,-1.316,0.689,-0.593,-0.078,0.96,0.963,0.312,-0.127,-0.833,-0.015,0.176,0.311,-0.922,-0.157,1.151,-0.687,0.379,-1.677,0.005,0.889
sample146,0.221,-0.584,-0.15,0.551,-0.621,-1.193,0.089,0.582,-1.579,-0.022,-1.259,2.114,0.586,-0.647,1.706,0.633,0.723,-1.507,0.344,0.943,-0.244,-1.215,-2.117,-0.533,1.496,-0.446,-0.319,-2.268,-0.654,0.209,0.64,-1.312,0.673,-0.126,1.537,0.171,0.45,1.838,-0.448,-0.968,0.191,1.415,-0.93,0.205,-0.578,1.428,-1.442,-2.176,0.727,0.297,0.164,-2.093,0.808,-1.148,-0.25,-1.176,-1.313,-0.757,0.126,0.636,-0.95,0.606,0.738,-1.281,-1.396,-1.151,-1.25,-0.669,-0.531,-0.118,-0.413,-0.82,-0.01,0.196,-0.88
sample147,-0.496,1.596,1.032,0.938,0.021,1.118,0.311,-1.189,0.552,-1.515,-1.837,0.44,-2.132,-0.033,0.84,-0.019,-1.264,-0.333,0.789,0.234,-0.816,0.406,-0.462,0.102,0.135,-0.172,0.415,-0.389,1.665,-1.52,1.515,-1.61,0.727,-0.89,1.809,1.39,-0.25,1.086,-0.094,-1.072,-0.849,-0.399,-0.042,-1.509,-1.016,0.642,-0.121,-0.422,-0.15,1.26,-0.081,1.492,0.336,-0.299,0.417,0.535,-0.276,0.161,-1.603,-0.417,1.924,-0.654,0.117,0.477,1.003,-0.525,0.023,-1.248,0.163,0.629,0.031,-0.078,0.326,0.566,0.548
sample148,-0.171,1.517,0.085,1.441,-0.067,1.195,0.803,0.441,-0.96,1.112,0.811,0.789,1.892,-0.19,-0.933,0.001,-0.867,-0.209,0.696,-2.083,1.005,0.617,1.589,0.371,-0.798,0.474,1.468,0.491,0.925,1.293,1.676,-1.464,1.161,-0.152,0.554,-1.382,-1.106,-0.004,-0.373,-1.027,1.369,0.001,-0.019,-1.102,-0.313,1.275,1.268,0.033,-0.933,2.12,-0.323,-0.504,-0.752,2.566,0.64,-0.725,-0.663,0.365,-0.994,-0.685,3.046,0.496,-1.281,0.108,0.801,-1.167,-0.69,0.23,-0.62,-0.101,0.354,1.256,0.036,1.057,-0.558
sample149,0.803,0.25,1.147,1.102,0.807,-1.119,-0.382,-0.811,0.286,1.224,-1.315,0.563,-0.247,-0.073,-0.498,1.246,0.007,2.28,0.949,1.454,0.284,0.024,-0.687,-0.409,-2.077,0.306,-0.901,2.097,0.729,0.659,0.421,1.511,0.438,-0.851,0.639,0.467,-1.232,1.414,-0.711,-0.723,-1.586,0.914,0.443,0.831,-1.425,0.115,-0.85,0.878,0.321,-0.081,-0.838,-0.397,0.336,1.675,-0.034,0.687,-0.38,0.142,0.134,1.437,-1.488,1.493,0.775,0.159,-2.023,-1.049,1.638,0.194,-0.491,-1.067,-1.429,0.3,1.172,-1.546,0.003
sample150,-0.104,0.099,-0.424,-1.178,0.556,0.74,-1.597,-0.249,0.16,0.081,-1.161,-0.92,0.984,-2.232,1.052,-0.98,0.709,-1.514,-0.861,-0.137,-1.472,-2.367,-1.939,0.923,-0.171,0.834,-0.255,-0.313,0.047,-0.426,0.038,0.383,-0.627,0.723,1.617,0.718,0.58,0.326,-1.522,-0.991,2.007,-0.584,-0.046,0.261,-0.852,-0.705,0.675,-1.473,-0.056,0.133,0.472,1.743,-0.473,-0.164,0.81,0.27,1.47,-0.364,0.539,1.492,1.535,-0.96,0.573,-0.699,-0.754,-0.964,0.306,-0.676,-0.451,1.269,-1.846,0.103,0.015,0.207,0.065
sample151,-0.396,0.52,0.239,-0.093,1.856,-1.252,0.096,-0.219,0.457,0.862,1.507,0.289,-0.505,-1.416,1.233,0.337,-0.29,-0.451,-0.071,0.158,0.497,-0.119,0.635,1.638,-1.612,1.163,-0.867,-0.224,0.733,-0.7,0.395,-1.038,0.024,-0.032,0.304,-0.885,0.018,0.616,1.166,-0.949,-1.179,0.091,0.035,0.323,1.226,0.205,-1.595,-1.474,-0.281,1.364,-0.361,-1.441,-0.025,0.75,1.681,-1.617,0.821,0.103,-0.831,-0.291,-0.036,1.174,-0.614,-0.991,-0.423,0.579,-0.18,-0.632,-0.698,0.313,0.312,-0.818,0.661,0.838,1.402
sample152,1.037,0.658,-1.229,1.616,-1.41,0.15,0.669,-1.017,-0.97,-1.257,-0.574,-1.034,0.125,-1.279,1.588,-1.174,-0.68,0.879,1.027,-2.286,-0.757,-0.226,-0.892,2.523,0.561,1.596,-0.794,-0.111,-0.035,-0.774,-0.006,-1.648,-0.098,-1.314,-2.36,0.703,1.208,0.037,0.557,-1.407,-0.299,0.071,-0.27,0.195,-1.451,-0.629,-1.125,-0.534,-0.661,0.17,-0.669,-2.532,1.296,-0.222,0.443,-0.111,0.612,-0.983,-1.246,2.01,0.948,-1.928,-1.992,0.344,0.759,-0.548,-1.08,1.498,0.457,0.081,0.55,-2.228,0.082,-1.576,0.849
sample153,-1.09,-1.48,3.398,1.23,0.308,-0.812,1.498,1.711,0.538,1.056,0.769,-1.613,-1.327,1.222,1.135,0.031,-1.237,-0.044,1.983,0.581,0.434,1.256,0.208,0.856,-1.975,0.44,-1.566,-0.41,0.574,0.83,-0.085,-1.434,-0.025,0.288,0.513,-0.275,0.529,-0.602,0.073,0.435,2.448,0.567,0.202,-0.574,0.942,-0.057,0.106,-0.427,-0.564,2.06,-1.322,0.589,1.203,0.924,0.854,-0.356,1.418,0.092,-0.584,0.107,0.328,-1.412,1.438,-0.39,0.016,1.352,1.863,-0.109,-0.718,-0.077,-0.922,-1.03,1.036,1.347,-0.22
sample154,0.23,-0.487,1.017,-0.172,-0.992,0.41,-0.424,-0.017,0.49,0.262,-2.311,0.557,-0.065,-0.723,0.467,-1.33,-3.539,1.646,-0.916,-0.148,1.258,-0.843,-1.548,0.007,-0.226,0.075,0.997,-1.039,0.472,-2.276,-0.633,1.413,-0.334,0.149,-0.521,-0.282,0.213,0.306,-0.043,-1.128,0.29,-1.637,0.23,-0.381,-0.431,-1.771,-0.025,-0.089,-1.74,0.266,-0.982,0.122,0.655,0.901,-0.071,-2.088,-0.251,0.167,-0.188,-0.441,-0.757,0.404,-0.121,0.124,-0.343,0.209,0.095,-1.117,0.594,-0.152,0.641,0.696,2.006,-0.842,0.91
sample155,0.531,-0.447,1.03,1.359,-0.771,-0.324,-0.504,-0.378,-0.603,0.315,0.579,-0.113,0.677,0.927,1.161,0.401,0.834,0.385,-0.765,-0.248,0.237,-1.137,-0.735,-0.692,-0.698,0.244,-0.488,-1.428,0.33,0.244,1.483,-0.775,0.878,0.699,-0.394,0.007,-0.505,0.542,1.105,-0.805,-0.174,0.092,-0.502,1.345,-2.154,-1.662,0.198,-0.805,1.409,-0.137,1.423,0.024,0.976,-0.04,-1.288,-1.433,-0.087,0.82,0.843,0.277,-0.562,-1.019,-0.406,-0.201,0.297,0.454,0.283,2.724,-0.402,-1.319,1.02,-0.757,1.535,-0.682,0.725
sample156,0.558,0.818,1.778,-0.698,-1.294,-1.072,0.154,1.301,-0.942,1.388,0.203,0.405,0.835,1.869,0.492,0.136,-1.401,1.243,0.502,-0.447,-1.103,0.653,-0.03,0.284,0.441,1.501,-0.622,0.784,0.414,-0.67,0.527,0.329,-1.898,1.032,-1.031,0.59,-1.002,-0.346,0.078,0.067,0.148,1.233,1.556,2.017,0.922,0.059,1.18,-0.977,0.617,-0.131,0.896,0.752,1.159,0.884,-0.544,-0.77,-0.722,-0.449,1.364,-0.452,0.173,0.826,-0.325,0.588,-0.022,0.05,-2.121,-0.92,0.257,0.864,0.21,1.683,2.677,-0.707,-0.968
sample157,-1.009,-0.266,1.584,-1.609,0.488,1.476,1.43,0.975,-1.392,0.219,-0.046,1.985,-1.958,0.823,0.365,1.037,0.896,-1.135,0.695,-0.659,-0.645,0.228,1.154,-0.32,0.86,0.276,0.801,-0.455,1.086,0.672,0.942,-1.245,0.646,0.086,-0.924,1.657,0.619,0.4,1.469,0.073,-0.282,0.893,-1.441,0.3,1.185,0.405,-1.828,-0.036,0.582,0.13,-0.679,-2.238,0.699,0.12,-0.757,1.516,-0.375,-0.641,0.348,-1.374,-0.096,0.587,-0.483,-0.098,0.681,0.64,-0.4,0.62,0.01,0.515,0.637,-1.033,-2.727,-0.661,0.765
sample158,-0.748,1.015,-2.024,0.332,-1.051,-0.077,-2.272,0.417,-0.727,0.114,0.115,-0.853,2.245,1.9,0.748,-0.239,0.217,0.018,0.486,-0.424,0.625,0.958,-0.551,0.402,-0.573,-2.342,1.236,0.453,0.189,0.875,-1.009,0.24,0.16,0.636,0.766,0.129,1.131,-0.722,-1.136,-0.004,0.008,-1.206,1.549,-1.074,0.228,0.353,2.094,-0.245,0.707,-0.247,-0.546,0.499,0.102,0.456,-1.222,0.764,0.77,-0.509,0.383,0.487,0.168,0.49,0.779,0.063,0.54,-0.61,0.497,1.808,1.041,-2.351,-1.81,-0.457,0.526,-0.368,0.2
